0,0,0,0,0,0,0
212,142,222,130,219,213,121
i:0 1,i:0 1,i:0 1,i:0 1,i:0 1,i:0 1,i:0 1
i:1 10,i:1 10,i:1 10,i:1 10,i:1 10,i:1 10,i:1 10
i:2 15,i:2 13,i:2 14,i:2 13,i:2 14,i:2 14,i:2 13
i:3 23,i:3 18,i:3 22,i:3 17,i:3 22,i:3 21,i:3 15
i:4 33,i:4 23,i:4 33,i:4 21,i:4 33,i:4 30,i:4 16
i:5 41,i:5 26,i:5 41,i:5 23,i:5 41,i:5 36,i:5 18
i:6 42,i:6 23,i:6 42,i:6 20,i:6 43,i:6 42,i:6 19
i:7 30,i:7 16,i:7 35,i:7 14,i:7 34,i:7 35,i:7 16
i:8 14,i:8 9,i:8 19,i:8 8,i:8 17,i:8 19,i:8 10
i:9 3,i:9 3,i:9 5,i:9 3,i:9 4,i:9 5,i:9 3
i:10 0,i:10 0,i:10 0,i:10 0,i:10 0,i:10 0,i:10 0
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,

