0,1,0,0,0,0,0
6592,12127,6592,6213,2961,6751,6751
0,0,0,0,0,0,0
15,16,15,15,14,15,15
34,36,34,35,29,34,34
81,88,81,83,63,82,82
195,230,195,198,137,201,201
467,584,467,465,283,481,481
1001,1326,1001,982,513,1030,1030
1693,2552,1693,1627,743,1742,1742
1934,3807,1934,1802,742,1994,1994
1160,3294,1160,982,434,1153,1153
12,194,12,24,3,19,19
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,,0,0
,0,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,

