9803,5671,7460,9429,5846,8286,8235,7502,8377,5811
83795097,50125975,63615387,80713159,50361527,70612628,70527728,64389702,73166118,48805411
36,35,36,36,36,36,36,35,36,35
0,0,0,0,0,0,0,0,0,0
36,35,36,36,36,36,36,35,36,35
212,212,227,213,230,221,222,195,215,210
1453,1473,1640,1465,1682,1566,1572,1266,1496,1460
10045,10155,11788,10116,12247,11064,11140,8319,10420,10075
64719,63931,77428,64853,81471,71841,72794,51245,67018,63668
366929,345656,436075,365304,462791,403803,413017,280727,375846,346676
1735698,1516978,1981387,1717100,2093616,1858594,1919702,1302143,1743638,1536321
6455392,5085127,6782848,6346079,6921786,6583302,6829356,4819912,6306029,5192556
17437287,12044822,16012379,17001911,14842891,16502512,16964966,13112661,16358592,12240291
30069678,17799549,22741253,28984339,17352376,25525211,25538275,22970323,26455619,17397029
25158638,12484424,14670584,23884560,8160881,18259628,17516555,19679866,19998425,11223959
2484298,771928,898420,2326989,431320,1391053,1258347,2152202,1842179,791600
10712,1685,1322,10194,200,3797,1746,10808,6605,1531
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
,,,,,,,,,

