0,0,0,0,0,0,0,0,0,0
366,147,147,219,228,366,561,360,147,147
11,11,11,11,11,11,11,11,11,11
0,0,0,0,0,0,0,0,0,0
11,11,11,11,11,11,11,11,11,11
21,14,14,15,17,21,23,19,14,14
35,17,17,20,24,35,43,31,17,17
49,19,19,26,30,49,72,47,19,19
59,19,19,32,33,59,100,60,19,19
62,18,18,34,33,62,112,63,18,18
57,17,17,32,31,57,98,57,17,17
42,15,15,26,26,42,64,42,15,15
22,11,11,16,16,22,29,22,11,11
7,5,5,6,6,7,8,7,5,5
1,1,1,1,1,1,1,1,1,1
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,

