0,0,0,0,0,0,0
212,142,222,130,219,213,121
i:0 1,i:0 1,i:0 1,i:0 1,i:0 1,i:0 1,i:0 1
i:1 10,i:1 10,i:1 10,i:1 10,i:1 10,i:1 10,i:1 10
i:2 15,i:2 13,i:2 14,i:2 13,i:2 14,i:2 14,i:2 13
i:3 23,i:3 18,i:3 22,i:3 17,i:3 22,i:3 21,i:3 15
i:4 33,i:4 23,i:4 33,i:4 21,i:4 33,i:4 30,i:4 16
i:5 41,i:5 26,i:5 41,i:5 23,i:5 41,i:5 36,i:5 18
i:6 42,i:6 23,i:6 42,i:6 20,i:6 43,i:6 42,i:6 19
i:7 30,i:7 16,i:7 35,i:7 14,i:7 34,i:7 35,i:7 16
i:8 14,i:8 9,i:8 19,i:8 8,i:8 17,i:8 19,i:8 10
i:9 3,i:9 3,i:9 5,i:9 3,i:9 4,i:9 5,i:9 3
i:10 0,i:10 0,i:10 0,i:10 0,i:10 0,i:10 0,i:10 0
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,

7,13,16,4,15,4,13
859,1642,2369,1272,2242,1156,2255
i:0 1,i:0 1,i:0 1,i:0 1,i:0 1,i:0 1,i:0 1
i:1 13,i:1 13,i:1 13,i:1 13,i:1 13,i:1 13,i:1 13
i:2 25,i:2 24,i:2 29,i:2 29,i:2 25,i:2 25,i:2 33
i:3 44,i:3 45,i:3 71,i:3 73,i:3 56,i:3 54,i:3 86
i:4 64,i:4 84,i:4 170,i:4 153,i:4 125,i:4 108,i:4 203
i:5 99,i:5 148,i:5 342,i:5 247,i:5 249,i:5 181,i:5 383
i:6 160,i:6 247,i:6 534,i:6 287,i:6 432,i:6 247,i:6 552
i:7 213,i:7 366,i:7 611,i:7 245,i:7 580,i:7 232,i:7 555
i:8 176,i:8 408,i:8 439,i:8 162,i:8 510,i:8 180,i:8 332
i:9 64,i:9 261,i:9 149,i:9 60,i:9 225,i:9 102,i:9 92
i:10 0,i:10 45,i:10 10,i:10 2,i:10 26,i:10 13,i:10 5
i:11 0,i:11 0,i:11 0,i:11 0,i:11 0,i:11 0,i:11 0
i:12 0,i:12 0,i:12 0,i:12 0,i:12 0,i:12 0,i:12 0
i:13 0,i:13 0,i:13 0,i:13 0,i:13 0,i:13 0,i:13 0
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,

59,34,59,61,32,40,65
5595,5008,5686,7316,5108,5807,7452
i:0 1,i:0 1,i:0 1,i:0 1,i:0 1,i:0 1,i:0 1
i:1 15,i:1 15,i:1 15,i:1 15,i:1 15,i:1 15,i:1 15
i:2 39,i:2 33,i:2 32,i:2 38,i:2 40,i:2 42,i:2 39
i:3 112,i:3 75,i:3 68,i:3 104,i:3 114,i:3 128,i:3 108
i:4 297,i:4 158,i:4 135,i:4 277,i:4 296,i:4 355,i:4 281
i:5 676,i:5 321,i:5 281,i:5 674,i:5 657,i:5 815,i:5 656
i:6 1204,i:6 653,i:6 599,i:6 1341,i:6 1125,i:6 1379,i:6 1303
i:7 1503,i:7 1124,i:7 1129,i:7 1958,i:7 1397,i:7 1546,i:7 1972
i:8 1168,i:8 1414,i:8 1604,i:8 1876,i:8 1078,i:8 1080,i:8 1946
i:9 537,i:9 1048,i:9 1393,i:9 904,i:9 373,i:9 422,i:9 975
i:10 43,i:10 166,i:10 390,i:10 123,i:10 12,i:10 24,i:10 153
i:11 0,i:11 0,i:11 39,i:11 5,i:11 0,i:11 0,i:11 3
i:12 0,i:12 0,i:12 0,i:12 0,i:12 0,i:12 0,i:12 0
i:13 0,i:13 0,i:13 0,i:13 0,i:13 0,i:13 0,i:13 0
i:14 0,i:14 0,i:14 0,i:14 0,i:14 0,i:14 0,i:14 0
i:15 0,i:15 0,i:15 0,i:15 0,i:15 0,i:15 0,i:15 0
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,

191,275,251,158,227,320,285
