12,18,10,18,3,4,20
74863,124959,81571,138358,31815,35347,142842
19,20,19,20,18,18,20
0,0,0,0,0,0,0
19,20,19,20,18,18,20
45,50,47,50,41,42,51
120,136,129,137,103,105,143
337,400,371,406,275,277,427
947,1185,1073,1220,711,723,1284
2507,3301,2906,3439,1690,1758,3638
5926,8231,6972,8713,3526,3763,9269
11739,17678,13974,19146,6073,6702,20297
18308,30565,21493,33883,8014,9233,35419
20467,37268,22170,41804,7364,8545,42843
13208,23990,11688,27002,3841,4006,26905
1225,2129,729,2534,159,173,2543
15,6,0,4,0,2,3
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,,,0
,0,,0,,,0
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,

