20,20,20,20,20,20,20
1/16,1/16,1/16,1/16,1/16,1/16,1/16
1/8,1/8,1/8,1/8,1/8,1/8,1/8
1/4,1/4,1/4,1/4,1/4,1/4,1/4
1/2,1/2,1/2,1/2,1/2,1/2,1/2
1132 msec.,1209 msec.,1449 msec.,1168 msec.,1328 msec.,1256 msec.,1135 msec.
93221,102872,95786,90747,123029,109027,77019
0,0,0,0,0,0,0
20,20,20,20,20,20,20
68,67,71,70,66,66,79
265,255,274,280,243,242,346
1007,950,1034,1097,901,879,1387
3395,3197,3548,3784,3124,2947,4608
9268,8971,10105,10596,9448,8624,11770
19051,19553,21618,21976,22841,20358,21209
27702,30849,30881,29711,38617,33870,23488
25093,29007,23381,19208,35807,31666,12401
6783,9122,4680,3869,11123,9571,1676
564,873,174,136,836,776,35
5,8,0,0,3,8,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,

