30 0,30 0,30 0,30 0,30 0,30 0,30 0
degeneracy:0,degeneracy:0,degeneracy:0,degeneracy:0,degeneracy:0,degeneracy:0,degeneracy:0
n:30,n:30,n:30,n:30,n:30,n:30,n:30
dominated:5 5 5 5 5 6 6 7 7 8 6 5 10 9 9 9 6 8 9 8 9 12 10 8 13 15 13 9 13 10 ,dominated:5 5 6 5 5 6 7 5 7 6 8 6 6 8 8 12 8 6 7 10 7 11 10 11 10 14 15 15 10 11 ,dominated:5 5 5 6 6 6 5 5 5 6 6 7 8 7 6 8 7 8 10 9 8 11 13 11 11 17 11 12 12 14 ,dominated:5 5 6 6 5 5 7 6 7 7 7 8 6 5 7 6 10 6 10 11 9 10 12 9 11 15 10 12 12 15 ,dominated:5 5 5 5 5 7 7 6 5 6 8 6 8 7 5 9 8 10 7 6 13 11 12 10 10 13 14 12 13 12 ,dominated:5 5 6 6 6 5 5 7 7 7 7 7 10 8 5 5 10 9 9 9 7 12 8 13 9 13 15 9 13 13 ,dominated:5 5 5 5 6 7 5 8 5 6 8 5 5 8 5 9 5 7 9 11 10 11 15 9 14 11 14 15 11 11 
18548,21719,18065,18696,18004,18753,16624
832930995,828807337,808568133,826710573,811466975,827335047,774247849
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,1,0,0,0,0,0
66,56,7,34,53,36,41
2947,2172,807,1566,2674,2123,1851
50276,40248,22982,32562,45716,41160,31670
438776,376483,265285,334243,393365,384383,285232
2335686,2106291,1677787,1980263,2088620,2134509,1603736
8495215,7940882,6826106,7697766,7668870,7994972,6221097
22781966,21846391,19725243,21505243,20900214,21897206,17784637
47478876,46338762,43228066,45961752,44349385,46320807,39261237
79782949,78780475,75141235,78435484,75799346,78633164,69267440
110940514,110347414,106873967,110079502,106935885,110066182,100184648
129993716,129840634,127098542,129663376,126748587,129488977,121042392
129955864,130074003,128270787,129975021,127809317,129743901,123830413
111739390,111926778,110937548,111880883,110573124,111683686,108277190
83013576,83154454,82703417,83137145,82492767,83011856,81399017
53378301,53451338,53281978,53446168,53188108,53384630,52761341
29680296,29708340,29656782,29707163,29624156,29683677,29489735
14222652,14230712,14218294,14230520,14209532,14223645,14176144
5837975,5839675,5837397,5839655,5835630,5838158,5829328
2033902,2034152,2033853,2034151,2033600,2033922,2032750
593621,593644,593619,593644,593596,593622,593523
142500,142501,142500,142501,142499,142500,142496
27405,27405,27405,27405,27405,27405,27405
4060,4060,4060,4060,4060,4060,4060
435,435,435,435,435,435,435
30,30,30,30,30,30,30
1,1,1,1,1,1,1
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,

