0,0,0,0,0,0,0,0,0,0
340,228,147,219,153,147,585,823,219,103
11,11,11,11,11,11,11,11,11,11
0,0,0,0,0,0,0,0,0,0
11,11,11,11,11,11,11,11,11,11
17,17,14,15,13,14,26,26,15,12
27,24,17,20,16,17,51,54,20,13
41,30,19,26,19,19,80,101,26,13
54,33,19,32,21,19,104,156,32,12
61,33,18,34,21,18,113,182,34,11
57,31,17,32,19,17,98,154,32,10
42,26,15,26,16,15,64,92,26,9
22,16,11,16,11,11,29,37,16,7
7,6,5,6,5,5,8,9,6,4
1,1,1,1,1,1,1,1,1,1
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,

