1,1,0,0,1,1,0,1,1,1
8442,8058,4957,5312,7452,7175,5085,7688,7514,8058
0,0,0,0,0,0,0,0,0,0
16,16,15,15,16,16,15,16,16,16
54,56,52,47,61,60,51,56,58,56
196,209,184,157,239,233,180,207,220,209
654,683,555,477,797,775,544,666,721,683
1756,1738,1250,1167,1925,1886,1246,1662,1775,1738
3165,2970,1781,1924,2754,2742,1834,2810,2770,2970
2599,2383,1120,1522,1660,1463,1215,2268,1953,2383
2,3,0,3,0,0,0,3,1,3
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,,,0,0,,0,0,0
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,

