141,83,92,133,64,85,112,85,80,85
947849,532647,669656,906624,398561,528530,810337,455559,448629,551558
25,25,25,25,24,24,25,24,24,24
0,0,0,0,0,0,0,0,0,0
25,25,25,25,24,24,25,24,24,24
111,130,124,113,119,109,114,112,115,107
566,740,680,577,644,559,589,589,609,540
2818,3956,3531,2895,3264,2717,2949,2921,3040,2585
12564,17772,15699,13078,13910,11455,13137,12414,12921,10764
47017,60603,55041,49447,45360,39121,48574,41749,42936,36640
137525,138677,139105,143317,101710,100085,136333,101523,101487,95344
281857,181002,223709,280962,135261,170747,255799,155606,150003,171764
325334,108584,183956,300268,82671,155365,257017,111821,111422,173540
125848,20630,45576,106650,15192,45054,87712,27188,24936,54965
14002,528,2206,9214,406,3274,8012,1612,1136,5212
182,0,4,78,0,20,76,0,0,73
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,,,0,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,

