21,22,20,22,20,20,19
189691,203274,188970,208941,191290,188571,188109
21,21,21,21,21,21,21
0,0,0,0,0,0,0
21,21,21,21,21,21,21
65,64,62,65,62,65,69
241,233,217,238,220,237,265
855,835,762,853,776,841,966
2740,2769,2454,2801,2510,2745,3098
7684,8071,6925,8040,7109,7832,8512
18181,19658,16523,19465,17028,18679,19514
34683,37928,32073,37923,33114,35377,35878
49959,54286,48249,55499,49395,49990,49913
48493,51971,50825,54479,51110,47480,46875
25635,26208,29038,27796,28607,24039,22058
1133,1224,1815,1750,1336,1259,940
1,6,6,11,2,6,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,

