136,0,129,22,0
1136153,2047,1108762,198876,0
24,11,24,20,0
0,0,0,0,0
24,11,24,20,
81,55,90,100,
344,165,394,420,
1459,330,1777,1860,
5868,462,7444,7224,
20853,462,27678,20580,
62802,330,85060,40560,
151955,165,202205,53850,
278770,55,330877,46100,
347937,11,313885,23042,
235728,1,130784,5120,
29832,,8544,0,
500,,0,0,
0,,0,0,
0,,0,0,
0,,0,0,
0,,0,0,
0,,0,0,
0,,0,0,
0,,0,0,
0,,0,,
0,,0,,
0,,0,,
0,,0,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,

