63,72,66,38,34,63,59,76,77,108
567070,653138,578604,330916,301571,489455,501730,651652,669656,959692
24,25,25,23,23,24,24,25,25,25
0,0,0,0,0,0,0,0,0,0
24,25,25,23,23,24,24,25,25,25
105,123,129,101,105,112,111,122,124,110
519,674,729,491,531,580,573,663,680,558
2509,3493,3875,2267,2496,2856,2815,3447,3531,2765
10799,15499,17368,9067,9877,12167,12002,15541,15699,12295
38295,54223,59549,29172,30374,41554,41237,55895,55041,45915
102511,136679,139621,69649,67413,103619,104076,144052,139105,134297
182038,218036,195116,109152,97971,163686,167492,225848,223709,278538
171146,177166,133496,88872,75858,130559,136510,163951,183956,332875
54542,44700,27880,21072,15819,32746,35150,40265,45576,134804
4548,2508,816,1044,1101,1552,1740,1843,2206,17168
34,12,0,6,3,0,0,0,4,342
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,,,0,0,0,0,0
,0,0,,,,,0,0,0
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,

82,71,77,102,100,41,128,101,76,101
501730,586738,532647,803160,729364,302429,942873,779601,514837,769622
24,25,25,25,25,23,25,25,24,25
0,0,0,0,0,0,0,0,0,0
24,25,25,25,25,23,25,25,24,25
111,126,130,117,120,105,111,118,110,118
573,705,740,616,641,530,560,626,565,628
2815,3727,3956,3111,3281,2497,2781,3186,2761,3174
12002,16787,17772,13811,14648,9951,12473,14209,11703,13906
41237,58743,60603,50418,52899,30943,47381,51730,40047,49304
104076,142601,138677,139410,140864,69273,140501,141002,101629,132136
167492,202062,181002,257078,241127,99211,285906,252628,168580,242052
136510,132142,108584,251046,212440,73049,320389,237703,146289,244865
35150,28696,20630,80931,59901,15977,121138,73202,40488,76459
1740,1124,528,6550,3404,866,11502,5143,2631,6889
0,0,0,47,14,4,106,29,10,66
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,,0,0,0,0
,0,0,0,0,,0,0,,0
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,

127,101,92,69,111,96,55,96,101,107
671860,556279,573811,509240,497014,686499,397076,780972,533944,807663
25,25,25,24,24,25,23,25,24,25
0,0,0,0,0,0,0,0,0,0
25,25,25,24,24,25,23,25,24,25
122,128,126,110,111,121,95,117,108,115
664,721,703,563,568,655,444,612,549,594
3449,3825,3711,2727,2771,3357,2017,3107,2648,2990
15473,17163,16691,11418,11747,14786,8167,14006,11093,13431
55117,59174,58244,38575,40245,51814,27639,51679,37775,49947
140897,139595,140461,97408,101490,133458,71856,141916,97170,140369
224858,190730,197226,164265,164949,225413,126310,253941,169749,260146
181763,119860,128029,149572,138310,199878,119962,237207,163189,252314
47060,24272,27583,41866,35272,53524,37599,73370,47843,81675
2422,786,1012,2704,1523,3458,2939,4976,3765,6022
10,0,0,8,4,10,25,16,31,35
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,,0,0,0
0,0,0,,,0,,0,,0
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,

61,85,90,83,83,114,105,63,81,97
481445,594558,659348,586738,586945,838860,780529,395242,580996,688158
24,25,25,25,25,25,25,24,25,25
0,0,0,0,0,0,0,0,0,0
24,25,25,25,25,25,25,24,25,25
109,126,125,126,126,114,118,116,127,120
554,702,691,705,701,589,628,618,712,643
2722,3697,3616,3727,3678,2922,3182,3100,3762,3350
11765,16556,16192,16787,16405,12815,14016,13212,16851,15404
41191,57415,56928,58743,56897,46792,50116,43675,58320,56795
105076,138279,142470,142601,138463,132043,135374,100097,139989,149795
165638,200870,221518,202062,203301,257465,248204,134164,200218,238398
122014,143740,173325,132142,136995,278913,248118,83162,132023,176268
30810,31988,42426,28696,29258,97550,74978,16562,27907,45072
1542,1160,2028,1124,1096,9508,5734,512,1062,2288
0,0,4,0,0,124,36,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,,0,0
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,

67,95,90,74,72,98,41,95,66,84
449230,611755,659766,495736,532647,681479,300623,608588,490549,583672
24,25,25,24,25,25,23,24,24,24
0,0,0,0,0,0,0,0,0,0
24,25,25,24,25,25,23,24,24,24
112,125,124,111,130,121,102,102,112,102
582,692,682,573,740,658,508,499,584,501
2881,3624,3553,2817,3956,3424,2395,2375,2893,2391
12328,16230,15864,11980,17772,15484,9671,10140,12349,10194
41970,56962,55788,40838,60603,56097,30872,36109,41940,35983
102559,141321,140478,101797,138677,146812,70965,99009,103144,96971
154215,211616,221137,163808,181002,235793,101585,187036,162154,179300
108170,146354,175827,137546,108584,175703,68580,195529,132681,186730
25211,33344,43958,34613,20630,45006,15168,69981,33050,64468
1178,1462,2320,1624,528,2356,754,7656,1614,6872
0,0,10,5,0,0,0,128,4,136
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,,0,0,0
,0,0,,0,0,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,

79,56,88,94,91,68,100,103,67,102
575542,381629,578604,653138,668830,470775,732941,764594,456287,763332
24,24,25,25,25,24,25,25,24,25
0,0,0,0,0,0,0,0,0,0
24,24,25,25,25,24,25,25,24,25
107,120,129,123,124,111,121,118,114,115
537,653,729,674,681,574,651,625,598,601
2576,3324,3875,3493,3543,2824,3360,3204,2946,3070
10851,14178,17368,15499,15798,12062,15104,14488,12345,13987
37795,45947,59549,54223,55524,41484,54640,53179,40681,52575
100902,100901,139621,136679,140120,104059,144271,143866,97407,147260
182666,128254,195116,218036,223366,161810,243127,250462,151186,261596
179305,74764,133496,177166,181704,117370,210705,226481,121416,216261
56507,13164,27880,44700,45596,28988,58069,67664,28154,63636
4248,300,816,2508,2343,1469,2862,4464,1414,4206
24,0,0,12,6,0,6,18,2,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
,,0,0,0,,0,0,,0
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,

62,91,85,71,66,67,97,115,115,86
463255,611755,560093,485359,458653,437491,746708,816303,821294,505115
24,25,25,24,24,24,25,25,25,24
0,0,0,0,0,0,0,0,0,0
24,25,25,24,24,24,25,25,25,24
112,125,129,110,114,113,117,116,116,111
583,692,730,570,597,591,617,611,605,568
2890,3624,3885,2799,2951,2921,3159,3081,3028,2770
12404,16230,17445,11897,12487,12389,14279,13597,13347,11743
42592,56962,59953,40694,41748,41629,52529,49138,48621,40291
105524,141321,140462,102671,100706,100603,142260,135357,135472,102172
159259,211616,191916,165686,153396,150203,245566,255085,256727,167154
112053,146354,120786,125623,117812,104196,218092,264666,266402,141112
26646,33344,24066,33149,27582,23724,65631,86783,89077,37247
1168,1462,696,2136,1236,1098,4409,7771,7794,1917
0,0,0,0,0,0,24,73,80,6
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
,0,0,,,,0,0,0,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,

141,83,92,133,64,85,112,85,80,85
947849,532647,669656,906624,398561,528530,810337,455559,448629,551558
25,25,25,25,24,24,25,24,24,24
0,0,0,0,0,0,0,0,0,0
25,25,25,25,24,24,25,24,24,24
111,130,124,113,119,109,114,112,115,107
566,740,680,577,644,559,589,589,609,540
2818,3956,3531,2895,3264,2717,2949,2921,3040,2585
12564,17772,15699,13078,13910,11455,13137,12414,12921,10764
47017,60603,55041,49447,45360,39121,48574,41749,42936,36640
137525,138677,139105,143317,101710,100085,136333,101523,101487,95344
281857,181002,223709,280962,135261,170747,255799,155606,150003,171764
325334,108584,183956,300268,82671,155365,257017,111821,111422,173540
125848,20630,45576,106650,15192,45054,87712,27188,24936,54965
14002,528,2206,9214,406,3274,8012,1612,1136,5212
182,0,4,78,0,20,76,0,0,73
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
